"Currency","PriceTimeStamp","Price"
"BTC","1591833600000","9280.4"
"BTC","1591920000000","9465.13"
"BTC","1592006400000","9473.34"
"BTC","1592092800000","9342.1"
"BTC","1592179200000","9426.02"
"BTC","1592265600000","9525.59"
"BTC","1592352000000","9465.14"
"BTC","1592438400000","9386.32"
"BTC","1592524800000","9310.23"
"BTC","1592611200000","9358.95"
"BTC","1592697600000","9294.69"
"BTC","1592784000000","9685.69"
"BTC","1592870400000","9624.89"
"BTC","1592956800000","9296.49"
"BTC","1593043200000","9249.49"
"BTC","1593129600000","9162.21"
"BTC","1593216000000","9012"
"BTC","1593302400000","9116.35"
"BTC","1593388800000","9192.56"
"BTC","1593475200000","9138.55"
"BTC","1593561600000","9232"
"BTC","1593648000000","9086.54"
"BTC","1593734400000","9058.26"
"BTC","1593820800000","9135.46"
"BTC","1593907200000","9069.41"
"BTC","1593993600000","9344.2"
"BTC","1594080000000","9257.39"
"BTC","1594166400000","9436.06"
"BTC","1594252800000","9232.43"
"BTC","1594339200000","9288.34"
"BTC","1594425600000","9234.03"
"BTC","1594512000000","9302.75"
"BTC","1594598400000","9242.62"
"BTC","1594684800000","9255.85"
"BTC","1594771200000","9197.6"
"BTC","1594857600000","9133.72"
"BTC","1594944000000","9154.32"
"BTC","1595030400000","9170.28"
"BTC","1595116800000","9208.99"
"BTC","1595203200000","9160.78"
"BTC","1595289600000","9390"
"BTC","1595376000000","9518.16"
"BTC","1595462400000","9603.27"
"BTC","1595548800000","9537.8"
"BTC","1595635200000","9700.42"
"BTC","1595721600000","9931.54"
"BTC","1595808000000","11029.96"
"BTC","1595894400000","10906.27"
"BTC","1595980800000","11100.53"
"BTC","1596067200000","11099.61"
"BTC","1596153600000","11335.46"
"BTC","1596240000000","11801.17"
"BTC","1596326400000","11071.35"
"BTC","1596412800000","11219.81"
"BTC","1596499200000","11191.97"
"BTC","1596585600000","11744.91"
"BTC","1596672000000","11762.46"
"BTC","1596758400000","11594.23"
"BTC","1596844800000","11761.41"
"BTC","1596931200000","11681.68"
"BTC","1597017600000","11892.92"
"BTC","1597104000000","11392.08"
"BTC","1597190400000","11564.33"
"BTC","1597276800000","11780"
"BTC","1597363200000","11760.54"
"BTC","1597449600000","11852.4"
"BTC","1597536000000","11911"
"BTC","1597622400000","12281.13"
"BTC","1597708800000","11945.01"
"BTC","1597795200000","11754.59"
"BTC","1597881600000","11853.55"
"BTC","1597968000000","11531.34"
"BTC","1598054400000","11662.96"
"BTC","1598140800000","11648.13"
"BTC","1598227200000","11748.2"
"BTC","1598313600000","11318.42"
"BTC","1598400000000","11461.43"
"BTC","1598486400000","11330.38"
"BTC","1598572800000","11526.91"
"BTC","1598659200000","11465.84"
"BTC","1598745600000","11711.16"
"BTC","1598832000000","11649.51"
"BTC","1598918400000","11921.97"
"BTC","1599004800000","11388.54"
"BTC","1599091200000","10140.85"
"BTC","1599177600000","10446.25"
"BTC","1599264000000","10166.69"
"BTC","1599350400000","10256.2"
"BTC","1599436800000","10373.44"
"BTC","1599523200000","10126.65"
"BTC","1599609600000","10219.2"
"BTC","1599696000000","10336.87"
"BTC","1599782400000","10387.89"
"BTC","1599868800000","10440.92"
"BTC","1599955200000","10332.83"
"BTC","1600041600000","10671.77"
"BTC","1600128000000","10785.31"
"BTC","1600214400000","10954.01"
"BTC","1600300800000","10939.99"
"BTC","1600387200000","10933.39"
"BTC","1600473600000","11080.65"
"BTC","1600560000000","10920.28"
"BTC","1600646400000","10417.22"
"BTC","1600732800000","10529.61"
"BTC","1600819200000","10241.46"
"BTC","1600905600000","10736.32"
"BTC","1600992000000","10686.67"
"BTC","1601078400000","10728.6"
"BTC","1601164800000","10774.25"
"BTC","1601251200000","10696.12"
"BTC","1601337600000","10840.48"
"BTC","1601424000000","10776.59"
"BTC","1601510400000","10619.13"
"BTC","1601596800000","10570.4"
"BTC","1601683200000","10542.06"
"BTC","1601769600000","10666.63"
"BTC","1601856000000","10792.21"
"BTC","1601942400000","10599.66"
"BTC","1602028800000","10666.39"
"BTC","1602115200000","10925.57"
"BTC","1602201600000","11050.64"
"BTC","1602288000000","11293.22"
"BTC","1602374400000","11369.02"
"BTC","1602460800000","11528.25"
"BTC","1602547200000","11420.56"
"BTC","1602633600000","11417.89"
"BTC","1602720000000","11505.12"
"BTC","1602806400000","11319.32"
"BTC","1602892800000","11360.2"
"BTC","1602979200000","11503.14"
"BTC","1603065600000","11751.47"
"BTC","1603152000000","11909.99"
"BTC","1603238400000","12780.96"
"BTC","1603324800000","12968.52"
"BTC","1603411200000","12923.07"
"BTC","1603497600000","13111.73"
"BTC","1603584000000","13028.83"
"BTC","1603670400000","13052.19"
"BTC","1603756800000","13636.17"
"BTC","1603843200000","13266.4"
"BTC","1603929600000","13455.7"
"BTC","1604016000000","13560.1"
"BTC","1604102400000","13791"
"BTC","1604188800000","13761.5"
"BTC","1604275200000","13549.37"
"BTC","1604361600000","14023.53"
"BTC","1604448000000","14144.01"
"BTC","1604534400000","15590.02"
"BTC","1604620800000","15579.92"
"BTC","1604707200000","14818.3"
"BTC","1604793600000","15475.1"
"BTC","1604880000000","15328.41"
"BTC","1604966400000","15297.21"
"BTC","1605052800000","15684.24"
"BTC","1605139200000","16291.86"
"BTC","1605225600000","16320.7"
"BTC","1605312000000","16070.45"
"BTC","1605398400000","15957"
"BTC","1605484800000","16713.57"
"BTC","1605571200000","17659.38"
"BTC","1605657600000","17776.12"
"BTC","1605744000000","17802.82"
"BTC","1605830400000","18655.67"
"BTC","1605916800000","18703.8"
"BTC","1606003200000","18414.43"
"BTC","1606089600000","18368"
"BTC","1606176000000","19160.01"
"BTC","1606262400000","18719.11"
"BTC","1606348800000","17149.47"
"BTC","1606435200000","17139.52"
"BTC","1606521600000","17719.85"
"BTC","1606608000000","18184.99"
"BTC","1606694400000","19695.87"
"BTC","1606780800000","18764.96"
"BTC","1606867200000","19204.09"
"BTC","1606953600000","19421.9"
"BTC","1607040000000","18650.52"
"BTC","1607126400000","19147.66"
"BTC","1607212800000","19359.4"
"BTC","1607299200000","19166.9"
"BTC","1607385600000","18324.11"
"BTC","1607472000000","18541.28"
"BTC","1607558400000","18254.63"
"BTC","1607644800000","18036.53"
"BTC","1607731200000","18808.69"
"BTC","1607817600000","19174.99"
"BTC","1607904000000","19273.14"
"BTC","1607990400000","19426.43"
"BTC","1608076800000","21335.52"
"BTC","1608163200000","22797.16"
"BTC","1608249600000","23107.39"
"BTC","1608336000000","23821.61"
"BTC","1608422400000","23455.52"
"BTC","1608508800000","22719.71"
"BTC","1608595200000","23810.79"
"BTC","1608681600000","23232.76"
"BTC","1608768000000","23729.2"
"BTC","1608854400000","24712.47"
"BTC","1608940800000","26493.39"
"BTC","1609027200000","26281.66"
"BTC","1609113600000","27079.41"
"BTC","1609200000000","27385"
"BTC","1609286400000","28875.54"
"BTC","1609372800000","28923.63"
"BTC","1609459200000","29331.69"
"BTC","1609545600000","32178.33"
"BTC","1609632000000","33000.05"
"BTC","1609718400000","31988.71"
"BTC","1609804800000","33949.53"
"BTC","1609891200000","36769.36"
"BTC","1609977600000","39432.28"
"BTC","1610064000000","40582.81"
"BTC","1610150400000","40088.22"
"BTC","1610236800000","38150.02"
"BTC","1610323200000","35404.47"
"BTC","1610409600000","34051.24"
"BTC","1610496000000","37371.38"
"BTC","1610582400000","39144.5"
"BTC","1610668800000","36742.22"
"BTC","1610755200000","35994.98"
"BTC","1610841600000","35828.61"
"BTC","1610928000000","36631.27"
"BTC","1611014400000","35891.49"
"BTC","1611100800000","35468.23"
"BTC","1611187200000","30850.13"
"BTC","1611273600000","32945.17"
"BTC","1611360000000","32078"
"BTC","1611446400000","32259.9"
"BTC","1611532800000","32254.2"
"BTC","1611619200000","32467.77"
"BTC","1611705600000","30366.15"
"BTC","1611792000000","33364.86"
"BTC","1611878400000","34252.2"
"BTC","1611964800000","34262.88"
"BTC","1612051200000","33092.98"
"BTC","1612137600000","33526.37"
"BTC","1612224000000","35466.24"
"BTC","1612310400000","37618.87"
"BTC","1612396800000","36936.66"
"BTC","1612483200000","38290.24"
"BTC","1612569600000","39186.94"
"BTC","1612656000000","38795.69"
"BTC","1612742400000","46374.87"
"BTC","1612828800000","46420.42"
"BTC","1612915200000","44807.58"
"BTC","1613001600000","47969.51"
"BTC","1613088000000","47287.6"
"BTC","1613174400000","47153.69"
"BTC","1613260800000","48577.79"
"BTC","1613347200000","47911.1"
"BTC","1613433600000","49133.45"
"BTC","1613520000000","52119.71"
"BTC","1613606400000","51552.6"
"BTC","1613692800000","55906"
"BTC","1613779200000","55841.19"
"BTC","1613865600000","57408.57"
"BTC","1613952000000","54087.67"
"BTC","1614038400000","48891"
"BTC","1614124800000","49676.2"
"BTC","1614211200000","47073.73"
"BTC","1614297600000","46276.87"
"BTC","1614384000000","46106.43"
"BTC","1614470400000","45135.66"
"BTC","1614556800000","49587.03"
"BTC","1614643200000","48440.65"
"BTC","1614729600000","50349.37"
"BTC","1614816000000","48374.09"
"BTC","1614902400000","48751.71"
"BTC","1614988800000","48882.2"
"BTC","1615075200000","50971.75"
"BTC","1615161600000","52375.17"
"BTC","1615248000000","54884.5"
"BTC","1615334400000","55851.59"
"BTC","1615420800000","57773.16"
"BTC","1615507200000","57221.72"
